speaker,speech,date,entity
thomas wieser,"Nikos, you don’t, you don’t have to carry us through all the details-",2015-04-01 00:00:00,EWG President
nikos theocarakis,Okay.,2015-04-01 00:00:00,Greece
thomas wieser,… o- of-,2015-04-01 00:00:00,EWG President
nikos theocarakis,"Okay. Okay, okay.",2015-04-01 00:00:00,Greece
thomas wieser,So far-,2015-04-01 00:00:00,EWG President
nikos theocarakis,Okay.,2015-04-01 00:00:00,Greece
thomas wieser,"… I, I’ve not actually received any reaction of yours to what the colleagues were saying. Uh, what we are here, uh, for is to have an update on where we are-",2015-04-01 00:00:00,EWG President
nikos theocarakis,Okay.,2015-04-01 00:00:00,Greece
thomas wieser,"… uh, and that we understand where the process is going, and, uh, so far, uh, uh… Don’t, don’t, like, don’t-",2015-04-01 00:00:00,EWG President
nikos theocarakis,Okay.,2015-04-01 00:00:00,Greece
thomas wieser,… concentrate on giving us-,2015-04-01 00:00:00,EWG President
nikos theocarakis,Okay.,2015-04-01 00:00:00,Greece
thomas wieser,"… n- newspaper headlines. Uh, see how you, uh, s- Tell us how you see the technical process. We’re, we’re technicians, we’re not, we’re not, we’re not public orators. Go ahead.",2015-04-01 00:00:00,EWG President
nikos theocarakis,"Okay.  Uh, we have today submitted to the Brussels group this detailed 26-page document that explains the reform that our government is proposing. So you will see there, when you read it, that we have incorporated feedback from the institutions during the discussion. So, uh, I will send it forthwith when we finish this review. But let me read and I think that we are in a very good, uh, direction with the institutions. Now, there is a problem however, that we should not let the review become a post-mortem. We are running out on the 9th. We shall not legislate in order to soak up from various organization the last drops of liquidity left. So in fact, there is no way that we can go beyond the 9th of April. We are very keen to continue with the Brussels groups and the technical team discussions in Athens. We are eager to introduce to parliament a number of reform bills very quickly pushing forward mutually agreed reforms. And to be frank, the very idea that the full final review will preceed an arrangement that looks after liquidity in the very short run is in our government’s view, quite unrealistic.",2015-04-01 00:00:00,Greece
thomas wieser,"So uh, we’ve now had, uh, uh, very, very, uh, uh, differentiated views over the process, uh, is, uh, quite frankly from Nikos, I haven’t… The only thing I gathered on process that’s, uh, you remain willing both in Athens and in Brussels, which I think is, uh, is very fine. Um, before I open up to colleagues to ask a question and comments , um, I would simply say, uh, what my understanding is in terms of the process. Uh, what, uh, we as the Euro working group, uh, need to do, uh, is, uh, wait until the three institutions and the Greek authorities have reached a complete, uh, agreement, uh, on a comprehensive views, uh, which is, uh, analyzed, uh, costed, uh, and, uh, which shows, uh, what the economic and fiscal policy consequences are. Uh, this is of course in a first, uh, iteration, this is not yet, uh,  the relevant national orders. Um, as an intermediate steps, I would like to pick up on, uh, that and also as an intermediate step permits to generate, uh, a credible perspective of a successful conclusion of the meeting. And a credible perspective of a successful conclusion of the review is in my view, and not only my view, uh, a complete list of measures, uh, which I think touches upon those which the Greek government, uh, is wishing to implement but which also needs to deal, uh, in a succinct manner, uh, with the other 30% percent  So, uh, I guess, uh, we are, from what I have heard, still quite a long way, even from this intermediate, uh, step, and I would, and, uh, uh, I would ask ask some questions A) on content and B) on procedure before we proceed. So who wants to take it here? Any colleagues?",2015-04-01 00:00:00,EWG President
irina,"Thomas, it’s  here.",2015-04-01 00:00:00,Unidentified
thomas wieser,"Yes, Irina, go ahead.",2015-04-01 00:00:00,EWG President
irina,"So I just want to check, um, and ask Nikos, what, what does… How do they see the payments in April?",2015-04-01 00:00:00,Unidentified
thomas steffen,"Um, shall we collect a few comments? Shall we collect a few comments and questions?",2015-04-01 00:00:00,Germany
nabil,". Yes, uh, my questions, um, because, um, uh, we have been talking about Nikos measures which were submitted by the Greek side. Um, frankly they have been already news in a lot of m- media, so, um, it would be really very helpful to get this list of measures so that we actually know what we are talking about. And I understand from Nikos that he’s going to send to the members of the, the EWG which would be very helpful.",2015-04-01 00:00:00,Unidentified
thomas wieser,"Possibly. Um, okay, anybody else?",2015-04-01 00:00:00,EWG President
thomas steffen,"Thomas, this is Thomas, if I may.",2015-04-01 00:00:00,Germany
thomas wieser,"Yes, Thomas.",2015-04-01 00:00:00,EWG President
thomas steffen,"Yeah, thank you. First on the, on the list, uh, maybe the three institutions could really help me, uh, what kind of list we are now, uh, talking about. Uh, if they’re approved, sent to the three institutions, uh, or are we talking about the list that is floating around, if I may call it like this, in the internet? I’m certainly a little bit puzzled about the state of, uh, play. And on the question of why we - I said, I simply have to send it to parliament immediately. This is very fine for me, but you should be aware of that, uh, first point. Second point on substance, would be very helpful to get some more information from the three institutions and maybe Marco could, uh, help us on the latest proposals coming from Athens. I guess, uh, this is part of the latest proposals, uh, that, uh, Greece again is proposing some debt relief, uh, which I fail to understand because, uh, Greece has subscribed to commit…uh, to honor its commitments. I don’t know whether this is true, but again, Marco maybe can help us. Second, on the proposed fiscal measures, as well as on the lower primary surplus, uh, I’m wondering if those, uh, measures, how the three institutions at the end of the day can confirm their sustainability. I simply, uh, don’t know, but to have some flavor, uh, again, would be quite helpful. Um, on process, Thomas I’m totally agreeing with your… what you just said. We need a, uh, complete agreement on the comprehensive, uh, list. And, uh, just to add to that, uh, let’s be as precise as possible because we are all under, I would call it democratic control, what I would need for any disbursement, which by the way would be very much in line with our statement 20th_february. I first need the staff level agreement, um, as you said, comprehensive one. Second I need a report of the state of play of the  including a debt sustainability analysis. I very much hope that the three institutions, uh, will be in a position to confirm that this is what they are working on. The third point is that I would need a compliance report on the implementation of all the measures by Greece. The fourth point I would need is an early warning if there are significant changes of the conditionalities in the MOU because as you know, and I’ve said that in the past several times, uh, I have to go to plenary of my parliament for any significant change of the, uh, MOU. And I’m sorry for that, but just to be as transparent as possible. And, uh, at the end of the day, on that basis, um, I can, uh, go to my bosses and to the parliament to suggest to disperse, um, the  to be a frequency in that we have, uh, we have ahead of us. So I would not see a real chance to disperse around the 9th of April just for the matter of, uh, clarity and, and honesty, uh, that we have. Thank you very much.",2015-04-01 00:00:00,Germany
thomas wieser,Very much. Other questions or comments?,2015-04-01 00:00:00,EWG President
tooma,This is .,2015-04-01 00:00:00,Finland
thomas steffen,Yes.,2015-04-01 00:00:00,Germany
tooma,"Thanks. Uh, I managed to cut myself off for a moment so I, I may have, uh, missed someone’s question, so sorry if I, if I repeat them. But the first, um, I too would be, uh, interested to hear the answer to Irina’s question. Uh, uh, I, I may have misheard. I though Nikos said that there’s no way they can go beyond 9th of April, uh, was, was this really what, what Nikos said or was… did he said something else?",2015-04-01 00:00:00,Finland
thomas wieser,Sorry-,2015-04-01 00:00:00,EWG President
tooma,"Questions, uh, Thomas you said, um, that you  got noise on the line right now. Are you hearing me?",2015-04-01 00:00:00,Finland
thomas wieser,"Sort of, yes. Yeah.",2015-04-01 00:00:00,EWG President
tooma,"Okay. Um, so yeah, good. Um, so y- y- y- you referred to, you… you referred to the possibility  um, intermediate step, uh, to work more with the team to create this credible, uh, prospect, also a, a positive outcome, um, that Benoit requested. Uh, I’m hearing my own voice, this is terrible. Um, but, but, correct me if I’m wrong, but this credi- credible prospect that Benoit was referring to was only about the waver. So the use of, of, uh, Greek government bonds is collateral and in my understanding, that would not help at all, uh, or at least not by much with liquidity. Uh, what would help with liquidity- … um, would be increasing the ceiling for CPOs, uh, the use of CPOs that as, as collateral, and then combined with, uh, realization of what supervi- supervisory fluxes, not to, to, to, uh, purchase, uh, T-bills by the bank. So it seems to me that, uh, that ECB… getting more ECB money in, in, uh, to, to help with liquidity might be quite a hurdle to meet. Maybe Benoit, Benoit could comment on, on that. Final point, um, I, uh, l- like Thomas, like Thomas said on, um, I mean, given the fact that we have two and a half weeks to go to our elections, it… the only, only disbursement that we could envisage in these circumstances would be one with, uh, with, uh, uh, staff level agreements on, on, on, uh, on the full review and any kind of, of, of passion would, would be totally impossible at this point. Thanks.",2015-04-01 00:00:00,Finland
thomas wieser,"Okay. Thank you very much Tooma. Somebody- Somebody’s playing music, okay it stopped. Uh, I think I’ll take one more question or comment and then ask the institutions and, uh, uh, to give some intermediate responses at least. Any ?",2015-04-01 00:00:00,EWG President
tropa,"Uh, so  here. I don’t know whether…",2015-04-01 00:00:00,Unidentified
thomas wieser,"Perfect, go ahead.",2015-04-01 00:00:00,EWG President
tropa,"Right, well, uh, well yes, well I would like to say on the liquidity issue as some of the other colleagues pointed out. Uh, it,  currently, is there a substantial difference from the m- the list presented to us in February. So, uh, if there is a more comprehensive approach towards the measures and, uh, perhaps there’s some others, uh, it can deal with, or it’s still the same list we had before, I don’t know whether it’s a substantial change from the list we had, or if they are given two types of list.",2015-04-01 00:00:00,Unidentified
thomas wieser,Right. ,2015-04-01 00:00:00,EWG President
tropa,"If I can add… And, uh, while I, I can’t ask that it is  we can be thinking of the point of, uh, perspective of having a successful conclusion of the, of the review. Thank you.",2015-04-01 00:00:00,Unidentified
thomas wieser,"Righto. Uh, I will turn maybe first, uh, to Marco, uh, to answer I- I- I think very much cer- centers around, uh, the list, uh, what kind of list, what is the status, and quite frankly is it intelligent to circulate? Uh, no what Thomas  said, and I think our, our clarifying comments for the benefit, uh, of Nikos, then there’s issues around, uh, uh, liquidity, uh, etcetera. Um, so Marco, comment?",2015-04-01 00:00:00,EWG President
marco buti,"Yes. Um, Thomas, uh, um, now the first point on, uh, uh, on the list. I mean, we have received a, a written opinion, Nikos reme- um, uh, the ne- uh, m- uh, recalls that, uh, um, in the last days, uh, uh, including, uh, this morning, um, which, uh, present the abuse of the authorities, uh, on, on a number of, uh, um, measures, um, and, and possible reforms. Um, I, uh, recall what you, Thomas, indicated at the very beginning, namely that there is a agreement that what would, uh, uh, emerge up the list, the list, would be, uh, something which, uh, has, uh, uh, the full backing of the institutions and not just simply let’s say the, um, ideas or proposals by the Greek authorities, precisely to, um, let’s say frame the n- the next thing in the process which would, uh… which may allow I think to, uh, uh, genuinely consider that the… by implementing those, uh, measures, um, the review would have a chance to be completed. And with that, uh, possibility an idea, I took under the council of Benoit, who can confirm or not, possibly, uh, unlock some decisions of the, uh, of the ECB, um, on, uh, the same matters which are under their, uh, um, responsibility, uh, which, uh, could, uh, if they come, uh… let’s say if, if they process insufficiently,  would leave them to, uh, alleviate some concern, uh, to the liquidity, uh, situation. Now, e- in the light of this, uh, while understanding, uh,  person material piece, l- I call it like that rather than, uh, than let’s say a list, um, uh, considering the, th- th- th- the usual institutional concerns that Thomas Stetton, uh, indicated, um, and, uh, let’s say in spite of the generosity of, uh, Nikos Theocarakis in terms of, uh, uh, putting this available for this… for the, you know, benefit of the knowledge of the colleagues, I would be a little bit weary on, um, uh, let’s say having a full distribution of this program and it may, uh, crystallize, um, let’s say the, um, the intentions around something which has not, uh, uh, yet the pa- the backing of the- … the institutions that needs to be discussed, uh, thoroughly in the process group. So we’ve seen what has been distributed by the Greek authorities, uh, uh, the  I know, uh… I do not know whether what is, uh, circulating on the web, uh, if this or not. I, I, I would hope that this is, uh, is, uh, uh, and, uh, would remain, uh, n- uh, confidential. Um, so this on, on one point. On the… I think on the, uh, 9th o- of uh, uh, April, uh, a deadline for the repayment, uh, um, I mean, I- and considering what has been, uh, said by colleagues, uh, and the state of play on the, uh, on the discussions, I would reiterate the, what I input at the very end of my previous intervention mainly that, um, um, we should on, you know, work on a double track. On the one hand clearly speed up for the, the whole process of discussions, uh, to come to, uh, let’s say to an agreed, uh, list which can be supported by the, by the all the institutions, and second, we would urge, uh, the Greek, uh, uh, government to offer, uh, a law on, uh, access to, uh, you know, resources in general government entities. Uh, I recall here that, uh, in number of countries including I think the country the president of the Eurogroup knows best, uh, uh, this, um, legislation exists, so it would not be anything, uh, you know, really specific or unprecedented. At the same time I think would, uh, be very helpful. We are, uh, as I said, uh, ready to provide our technical, uh, support, uh, also with the help of the countries having this type of legislation to help the Greek, uh, uh the Greek problems.  And, uh, on, uh, I think on the question Thomas  on the, uh, on the debt relief, uh, I mean maybe Nikos should be the one, uh, who, uh, replies. We stick to the agreement that today is fully supported by all the parties, uh, uh, all the countries in the Eurogroup. Namely that, that fully repayment, uh, off all the creditors, uh, will, uh, take place and there is a Greek commitment on, uh, on, uh, on that. Let me say also that in terms of technical, uh, technical support, we are ready to, um, uh, engage and to help the Greek authorities, uh, uh, also on the, uh, issues of, um, what we call the humanitarian, uh, um, concerns. So to pass, uh, uh, laws which allow to in- indeed, uh, help them to establish proper safety net, uh, to tackle and uh, uh, social issues. Uh, in a way, uh, as I indicated before which would not be let’s say detrimental or having possibly unintended, uh, uh, dam- damaging effects on other, on other parts. I mean, we are m- we’re supposed to be objective and we are fully behind it, and, uh, we are ready to help out, uh, on this. Maybe I can, uh, I can stop here. Thanks.",2015-04-01 00:00:00,European Commission
thomas wieser,"Thank you very much Marco. I would not want to put, uh, Benoit into, uh, the position of, uh, talking about anything that is a, uh, uh, uh, decision of, uh, the government  Thomas, I have, uh, heard some ambitions, not out of central banking circles, uh, but some, uh, ambitions that if such a credible prospective or successful conclusion of the review were forthcoming, uh, that could indeed, it will probably have some, uh, emotional, uh, uh, inputs on, uh, how, uh, central bankers view, uh, T-bill limits. Uh, as I said, uh, this, this is not coming from central banking circles, but, uh Thomas, I would not, uh, want to, uh, uh, put Benoit on the spot, uh, with, uh, making an answer to that, kind of question.",2015-04-01 00:00:00,EWG President
speaker 5,"Of course Thomas, I- I- can, I mean I’m not going to, uh… I’m not going to uh, uh, to, uh, to prejudge what the government is going to say or not say, uh, but I can still say a word on, uh, how… uh, on, on, on the, um, on our framework, on our framework and which are the rules that we are implementing here, uh, if that suits you to, uh, to inform the discussion.",2015-04-01 00:00:00,Unidentified
thomas wieser,"Yes, by all means.",2015-04-01 00:00:00,EWG President
speaker 5,"Okay. So I’m not discussing the  said growth and, uh, first and foremost, because it will create confidence um, in front of the market an particular confidence by foreign investors. So what we are discussing here is a, a, a start that can, uh, bring, uh, Greece back to market access. And anything that the ECB can do on or not do,uh, will just be a consequence of this process. So it is not . Now coming to the, to the consequence that the governing council could draw, um, there are two separate issues. Uh, the first issue relates to the waiver the, and, uh, as, uh, as I said, uh, the, uh, waiver is about, uh, having the programs  and so that’s about having a credible perspective of, uh, a conclusion of the lev- of a success- successful conclusion of the review. And that’s what we need to see to the reinstate the waiver. The second issue which is, which is separate, uh, is about the  financing. Um, and we’ve had two di- two different discussions, uh, that, uh, that the governing council will discuss, uh, based on different criteria. So, uh, you can have one or the other or both or neither of the two, it depends on, on the, on the first one… on the one hand for the prospect for successful conclusion of the review. On the second hand, the prospect uh, of, uh, a  regaining market effort, and that’s two different discussions. So, uh, uh, a- and, uh, the extent of the discussion we’re having today is that it’s anyway too early, uh, to put that discussion to the governing council. So I’m not even going to ask the governing council today, given the discussion we’re having, uh, uh right now. Uh, my final remark, uh, relates to the liquidity situation. Um, as we’ve seen over the last weeks and days.",2015-04-01 00:00:00,Unidentified
speaker 6,"…situation. Um, as we’ve seen over the last recent days, um, there are ways, uh, to, uh, manage, uh, the available cash, uh, existing in the general government, um, in the broad sense. There is cash in extra-budgetary entities outside of the central government. There is cash in regional authorities. There are ways to generate cash, um, that are, and we, we’re not suggesting that the Greek government should  that certainly would not be our recommendation. And we are not in a position to say that. Uh, but there are ways to generate cash, such as selling shares in public companies, uh, so there are different ways to generate cash and our advice to the government is really to look, uh, at all possible ways, uh, possibly using the legislative instrument, as Marco, like in the Netherlands, which can be replicated quite easily. Thanks very much, uh, ",2015-04-01 00:00:00,Unidentified
luca antonio ricci,"Thank you, Thomas, uh, let me just come to a couple of points that were, that were very raised. So, first on the fiscal measures that we have seen. It’s very clear that the fiscal measures that have been put on the table are moving away from parametric measures, measures that are very easy to implement and easy to collect, to minuscule measures that have a very weak history of collections in Greece. As such, the, the use that the authorities are considering are far too optimistic. Clearly a lot more technical discussions need to go into this but where it currently stands, ’cause we feel the measures that have been put on the table which was just way, way too optimistic. Now, in terms of the way the system measures  surplus target that was set for last year.  is 1.5% of GDP, the authorities are, are projecting that they will fall very far short of that. The technical discussions are continuing and we think that there could actually be a deficit that would be registered last year and this is entirely because of non-implementation of measures and backtracking of measures in the later part of last year by the previous government. This will of course impact the base for 2015 and, again, the technical discussions need to take place but, uh,  We need to summarize, uh, the, and coming back to some of the points that we made earlier even in regards to, uh, even in regards to the list, uh, that the authorities have put forth. On process, there has been some progress. But on substance the snapshot of where we stand today, is that we are very far apart on issues of . Let me stop there. Thank you.",2015-04-01 00:00:00,IMF
speaker 6,"Thank you very much, uh, ?",2015-04-01 00:00:00,Unidentified
nikos theocarakis,"Okay. So, let me redirect again that we’re soon running out of money and it’s very hard to go beyond the ninth of April. Now, uh, Marco, both Marco and Benoit mentioned the extra cash that is, there available, and that uh, requires legislation, but in our Parliament we haven’t passed such legislation, since it would not suffice both for IMF repayments and paying for wages and pensions. So it would not make a difference. Now, recall that our stressed State already made payments of almost seven billion this year without having benefited from scheduled disbursements. So we paid seven billion but received none. Now, regarding the measures list. Now the Brussels group has received a comprehensive list in Excel form of our reform proposals that demonstrate the 70, 30 mix that these, which measures from the tenth of December list from the institution we accept and which we propose to change and how. Today, we improved on that list after the discussions we had in the Brussels group and we have sent this detailed document outlining our proposal for each one of these measures, both the 70% and the 30% parts. Now, I understand that, and I think everybody understands, that this is a working document that reflects the position of the Greek government. Of course it’s not something that has been agreed by all parties. But our, actually, I would like to send this document to the members of the Euro working group. I mean, you know, your trusted colleagues, I mean it is to you that we, uh, address our reform proposals. So I don’t think that, uh, certain things are, should not, uh, should be censored before  and then after that we should send these documents to the Euro working group. So if you all agree, I should send to you both the, uh, documents and the, uh, Excel, uh, um, spreadsheet on that.",2015-04-01 00:00:00,Greece
speaker 6,"Okay. Colleagues, I said there was some kind of intermediate  I think what the questions and comments that we’ve heard from you were quite pertinent. Is there anything else you would like to comment on, uh, or, uh, ask, uh, from the institutions?",2015-04-01 00:00:00,Unidentified
speaker 7,"As say that, I, I, I really don’t want to put Benoit in a hard place so, um, I’m not doing that but just two technical questions, uh, am I right, uh, that, uh, Greece getting the waiver, in itself would have, uh, small or no effect on the government liquidity? That’s the first question. And the second question, uh, am I right that if the governing council decided to raise the  this would require also to provide the registrations. That, that is my question. I didn’t want Benoit to speculate on what the governing council, might or might not decide.",2015-04-01 00:00:00,Unidentified
speaker 6,Anybody else?,2015-04-01 00:00:00,Unidentified
speaker 8,This is just  can I come in?,2015-04-01 00:00:00,Unidentified
speaker 6,Yes. Yes. Sure.,2015-04-01 00:00:00,Unidentified
speaker 8," how, uh, come that you didn’t have the list, uh, beforehand. So, I understand the arguments of course of Marco and Thomas and son on, but I’d like to raise your attention attention to the fact that some of us might, uh, get into a pickle.",2015-04-01 00:00:00,Unidentified
speaker 6,"Uh, anybody else?",2015-04-01 00:00:00,Unidentified
speaker 7," Just a question to, to you Thomas. I think, uh, we should leave it in your hands how to communicate if, uh, if needed and not to leave it to all parties involved to communicate to the outside world about the outcome of this, uh, telephone, uh, conference. I can well imagine that now circulating some list, whatever the list will be, might also lead to some further communication. As I said to you, I have to forward that list immediately to the parliament, so discussion about the quality and the quantity of the list will immediately start. So I would be more that happy to know that you will be the one to communicate and give the right messages on the state of play and not leave it to all parties involved to communicate. Thank you.",2015-04-01 00:00:00,Unidentified
speaker 9,Can I come in?,2015-04-01 00:00:00,Unidentified
speaker 6,Yes. Please come in,2015-04-01 00:00:00,Unidentified
hans jörg schelling,"Um, I would, I would seriously try to advise against sending this list around.  if I would have it, my parliament would ask for it, just as in Germany and, uh, and our Greek colleague Nikos Theocarakis should realize that if this list had been sent to parliament, the parliament in our country will think something about it and it will certainly not help negotiations. So, really, really we shouldn’t do this. Um, if you wanna kill any prospect of, uh, of getting results in the coming months, we should send this list around and we’re, we’re back at square one. Thanks.",2015-04-01 00:00:00,Austria
speaker 6,Thanks you Hans.,2015-04-01 00:00:00,Unidentified
thomas wieser,"Uh, I think I get the gist. Any other further questions, comments? So, maybe let me try and  Thanks very much for this clarification. Let me, uh, try and summarize where, where we are. Uh, from, from, from the institutions, um, from the Greek authorities, there are obviously quite significantly differing perceptions of, uh, where we are. But let me first start off, uh, maybe with the question of the list. Uh, the list, uh, is for me some kind of intermediate, uh, product. I would not wish, uh, to have knowledge of it if I can avoid it somehow. Um, and, uh, this would be, uh, in all, uh, program discussions that we have ever had, uh, a first. And I think it was with a very good reason that we have not, uh, interfered in this process between the institutions and the country, uh, concerned, uh, for very good reasons and I think our Irish and Cypriot and Portuguese and Spanish, uh, colleagues can very much, uh, testify to that fact, because generating a huge chapter and preconceived notions about what should be in the list, what should not be in the list. How it is to be evaluated, how it is to be costed, uh, what effects on the DSA are. Uh, all of a sudden you get a viral process, uh, with, with a huge multiplier and you will never ever be able to catch this cacaphony, so quite frankly, having shot itself successfully in one knee,, this process of wanting to publish it, to me, looks a bit like looking for the second knee um. It’s something you guys don’t wanna know uh, and if you’re, uh, minister, you don’t wanna know officially. If your minister, uh, wants, uh, starts accusing you of not having it, download it from the Internet, it’s been leaked anyway. Uh, call the Financial Times, whatever. Uh, but I would, uh, seriously counsel Nikos Theocarakis against circulating it. If Nikos Theocarakis wants to circulate it, it’s very much, it’s, it’s your decision, uh, because and, uh, be free to do it. I’m just trying to give, uh, uh, advice with only one interest in mind. That is succesful and rapid conclusion of this process, but it’s your choice, quite obviously. Secondly, uh, where do we stand. Um, we are at, more at the beginning, I think, of a process, uh, than reaching the end of a process. Uh, Nikos Theocarakis said that the teams of the three institutions were technically ill-prepared. Quite frankly, we’re nine weeks after, uh, uh, the elections. Uh, I think it will give that indeed that there have only been four days of some serious dicussions. And at least in all of my experience which covers also some decades, uh, with some relation to IMF programs and this is the first time I’ve heard this of the technical teams were ill-prepared, but there also a first, obviously. So, uh, I think after nine weeks we, we hopefully should have now arrived at the stage, uh,  process. It is clear from what colleagues from the institutions have said, uh, that we are still a very long way, uh, away from this being an agreed list, making full use of the flexibility that is in, in the program, of course. Uh, but first one needs to define, and I think the Greek colleagues have done this, one needs to define what do the Greek authorities want, uh, and then one needs to have an agreed process and how do we deal with all the other things, uh, that for a variety of reasons the Greek authorities, at this stage, do not feel like doing. So it needs to, how does one deal with the  from the Greek institutions, uh, participate, uh, and that, uh, people are empowered, to so say what needs to be, uh, said there. Um, so I think, uh, uh, that this should be possible. Um, the information by the institutions that there has been quite some backtracking, uh, Nikos Theocarakis  estimates that the Greek colleagues have, uh, provided. Uh, in terms of timing, in terms of timing, I am working on the assumption that colleagues, both in Athens and in Brussels, uh, will continue to work, uh, around the clock. As I don’t want to know the list, uh, I don’t know how large the data towards an intermediate solution is but from what was said today, uh, it appears not to be a matter of hours or days but more, uh, of a longer process. It also  that this would require decisions presumably, uh, at the political level in Athens to include things in the list or to exclude things from the list as the case, uh, may be. Which, uh, implies that we will, at the Euro working group, which we will be having next Wednesday, uh, another update. This is exactly another week from now so we will have an update, uh, to hear what have been the achievements in Athens, what have been the achievements in Brussels, uh, in the intervening, uh, week and I hope that these achievements will have been, uh, very, very significant. Will they suffice in order to produce this final, uh, intermediate paper which is so comprehensive and so costed, and that it forms a very credible basis and prospective for successful conclusion of the review, I simply do not know. Uh, if you turn up for this on Wednesday one minute, uh, before the meeting starts, I will be very happy. We will postpone the meeting, uh, for an hour in order to be able to get a first look at it. So I would very, very much welcome that. Um, let us work on the assumption that maybe that maybe it would not be possible, um, because if it is possible then we take take it, uh, from there. If it is not possible, um, as I said, uh, then, uh, the following week everybody decamps to Washington I would very much hope that the technical teams continue, uh, discussions also in Brussels may continue and then we are moving, uh, steadily towards the Eurogroup on the 24th of April in Riga. I think it is absolutely paramount importance that we have a Euro working group, at least in this form of a conference call, at the beginning of the week so that ministers enter the Eurogroup, completely informed. As, uh, as is the case for next Wednesday, uh, I would very much hope that this very comprehensive, fully costed, uh, and mutually accepted list of measures would be available. Then, if I have not been precise enough, in previous rounds, uh, this comprehensiveness is not  it is one, uh, which bears the signature of not only the Greek authorities but of the three institutions, uh, or four institutions involved that is fully clear, but I think this would’ve been clear anyway. If that were to be the case that there is then that agreement, uh, I would, and this is recommended by the institutions, I could imagine that ministers in the Euro group produce a statement, uh, welcoming this production of a comprehensive, fully costed, mutually accepted, acceptable and positive list, uh, which should pave the way as it is so comprehensive, uh, for producing later  and ultimately, after implementation and compliance reports, uh, disbursements. So, um, there is one strand of possibility that we have this agreement reaching us by, uh, next Wednesday. That requires a huge amount of work and a fabulous, uh, speeding up of technical experts work in Athens. Uh, if that is not the case, I think our next round to do, uh, after next Wednesday, uh, would be 10 days or 12 days  of the week where Riga takes place. I think a number of suggestions have been made, uh, on the liquidity issue, I don’t think that this is the place or the time to go into that or any detail. Let me just finish by reminding our Greek colleagues, uh, that there are rules in place which govern, uh, the selection of personal through the HFSF which is required, which are required, which have been put into place by mutual consent, as part of the overall arrangement in order to ensure that the HFSF is indeed, uh, an institution which is run at arms length from any government. So this is not a political issue. This is a generic governance issue, uh, the selection procedures which involve the Euro working group have been respected in the past and if they were not respected this time around, and there are rules  So, uh, that would be, yeah. That would be more or less how I see, uh, the process and, uh, the procedure. If there is anybody with violent, uh, disagreement with this, this is now the time, uh, to say so, uh, other than that we would be seeing each other next Wednesday, uh, and if something, uh, uh, spectacular, dramatic, of very good news, happens in the meantime, I would expect that the institutions would inform us and I could inform you in turn.",2015-04-01 00:00:00,EWG President
luca antonio ricci,"Sorry Thomas, Ricci here from  Thank you.",2015-04-01 00:00:00,IMF
speaker 6,"Right. Thanks very much. Uh, as we, uh, are well aware  it should not be too difficult to also work online between Athens and, uh, capitals. Yes, who is it, who was that coming in?",2015-04-01 00:00:00,Unidentified
nikos theocarakis,"Yes, uh, Nikos Theocarakis, so, uh, to make a few points. The first is regarding the HFSF, let me state that the Greek government operates perfectly within the, the bounds of legality. The second point I would like to make is about, uh, the comment that, um, it was a first that people from the IMF another institutions were not well prepared. First of all, I would like to say that we have really top notch people in Athens and we value their work.",2015-04-01 00:00:00,Greece
speaker 6,We don’t have to go through the whole ,2015-04-01 00:00:00,Unidentified
nikos theocarakis,"I just, I just say that what they said about not being well prepared, I didn’t mean like that, okay? And also regarding the, the, uh, the reform list, uh, you, you mentioned ramifications that, um, I will take into consideration certainly, I just wanted you to know that, uh, wanted other members of the Euro working group to have a feeling of, uh, the type of reforms we are proposing. But since, you know, you are saying that if this is done then this could be a problem, I’m happy to let the list stay within the members of the Brussels group. But I must say that if you read lists or documents in the Internet, in cyberspace, the blogosphere, do not assume that this is the list we have submitted to the Brussels group. Okay? Thank you very much.",2015-04-01 00:00:00,Greece
speaker 6,"Just a final remark, uh, Nikos Theocarakis, that’s fine if the Greek government is operating on, uh, within legality, that is extremely fine but, uh, if that includes the agreements which govern the  you will be informed forthwith.",2015-04-01 00:00:00,Unidentified
speaker 8,"Sorry, but, uh, you recall at the very beginning, uh, the news of this, uh, EWG conference call has been reported widely, um, so they will be questions on the out of this. I think it will be highly  indicated before, you would be the one, uh, that is providing this answer and, uh, I think it would be good that we have a line to take, uh, here, being as laconic as possible, and not to speculate on different things being said or not being said, the different positions, etcetera, etcetera. I think that would be, uh, seems to me the only responsible thing to do at this stage.",2015-04-01 00:00:00,Unidentified
